state,local,mean,sd,q025,q05,q25,q50,q75,q95,q975
Adamawa,Ganye,277598.4612,42365.25543,203556.975,213540.55,248221.75,274845,303443,352381.15,369333.875
Adamawa,Girei,233069.815,31039.06985,180512.35,187187.2,211227.75,230308,252057,288045.25,302130.375
Adamawa,Gombi,287712.9046,43241.26827,213174.8,223434,257541.25,284507.5,313505.5,364628.5,383576.925
Adamawa,Guyuk,152454.6391,23499.04284,111664.8,117263.8,136119.75,150584.5,166644,194090.3,204635.15
Adamawa,Hong,276669.5205,21919.70056,236547.9,242497.6,261556,275970,290731,314246.85,322007.425
Adamawa,Jada,373531.9107,62393.53442,265222.425,279196.35,330476.75,368972,411533.5,484765.5,509324.075
Adamawa,Lamurde,115309.1735,9544.519085,97733.925,100302.7,108754.5,114922,121379.5,131487.15,135549.05
Adamawa,Madagali,162537.8134,25494.07591,119288.825,124961.6,144504.75,160085.5,177584.75,208717.35,219520.225
Adamawa,Maiha,183931.6563,32873.70838,128009.925,136636.55,161622.5,180469,202401,242774.6,258535.4
Adamawa,Mayo-Belwa,297550.9415,46318.701,217913.9,228781.25,265224.25,293438,325712.75,379165.4,398733.425
Adamawa,Michika,223979.3667,17563.46101,192010.95,196574.35,211941.25,223199,235151.75,253990,260534.125
Adamawa,Mubi North,246527.3264,29985.20931,193246.825,201487.6,225590.75,244371.5,264855.75,299000.15,310686
Adamawa,Mubi South,229213.3983,31293.63887,176467.875,183470.25,207162,226029,247974.25,284481.3,300021.7
Adamawa,Numan,93642.037,13721.92782,70416.85,73637.8,84202.75,92357,101654.75,118184.05,124195.175
Adamawa,Shelleng,129451.1761,21032.24287,92679.85,98278.2,114925.5,127456.5,141916,166180.4,176434.675
Adamawa,Song,344044.9533,51056.00803,255703.8,267905.4,308847.5,339248,374437,434227.45,459463.475
Adamawa,Toungo,114219.3361,11255.63186,93863.85,96869.2,106576.75,113438.5,121304.5,133951.1,138339.8
Adamawa,Yola North,235554.3233,27956.53234,185445.825,192898.55,215719.5,234069,253323.5,284646.05,294506.6
Adamawa,Yola South,439516.8979,46307.89514,356404.525,368912.45,407497.75,436870.5,469051.75,520264.85,538075.15
Akwa Ibom,Abak,186490.6109,31302.1944,133710.525,140655.6,164977.5,183282.5,204870.75,242531.75,258666.9
Akwa Ibom,Eastern Obolo,21178.573,1856.940653,17876.925,18318.75,19904,21080.5,22336.25,24416.3,25186.05
Akwa Ibom,Eket,181601.857,20512.19821,145522.875,150687.6,167238.5,180372,194541.75,217564.8,226120.7
Akwa Ibom,Esit Eket,42411.7982,3819.000968,35481.975,36579.95,39778,42163,44835.25,49025,50564.425
Akwa Ibom,Essien Udim,205144.9881,38829.48682,140539.025,147913.7,178060.25,202099.5,227837.75,274221.15,294003.75
Akwa Ibom,Etim Ekpo,105395.0649,19455.60711,72584.95,76762.55,92104.5,103425.5,116769,139862.55,148891.65
Akwa Ibom,Etinan,91372.4359,17096.43147,63248.2,67474.45,79250.75,89197,101332.25,122846.45,130528.275
Akwa Ibom,Ibeno,51580.0685,4264.049343,43789.625,44870.65,48643,51412,54288.5,58839.25,60553.025
Akwa Ibom,Ibesikpo Asutan,135270.8651,19996.29187,101557.4,105559.35,121203.5,133539.5,147144,170973.1,179914.425
Akwa Ibom,Ibiono Ibom,117978.3687,21915.1094,81921.5,86647.85,102753.75,115504,130471.5,157372.45,168064
Akwa Ibom,Ika,44712.1516,4595.672447,36349.925,37676.65,41486.75,44472,47524.25,52789.1,54430.175
Akwa Ibom,Ikono,138212.6787,26776.07477,92107.6,98668.85,119510.25,136009,154375.25,185008.6,196448.6
Akwa Ibom,Ikot Abasi,104150.1277,16471.88298,75628.45,79668.85,92828.5,102786,113833.5,133755.7,140341.1
Akwa Ibom,Ikot Ekpene,201892.9486,24743.14826,158246.825,164126.3,184572.25,200701,216900,244819.75,255186.425
Akwa Ibom,Ini,106447.048,16462.85374,77765.275,81561.65,95242,105014,116574.25,135095.15,141652.125
Akwa Ibom,Itu,95513.9729,14859.61141,71765.1,74540.65,84887.5,93696,104133.5,123100.55,129783.775
Akwa Ibom,Mbo,50716.0005,8391.932922,37153.825,39008.7,44849,49779.5,55539,65890.4,70070.45
Akwa Ibom,Mkpat Enin,117475.3454,21357.00395,82306.25,86971.75,102480,115119,129853.25,156273.25,166363.875
Akwa Ibom,Nsit Atai,60986.1379,13743.12033,39402.775,42101.55,51280.5,59099,68527.25,86760.95,93138.15
Akwa Ibom,Nsit Ibom,78538.3294,17267.55894,50497.975,54375.95,66653.75,76657.5,87948,109701.5,118282.75
Akwa Ibom,Nsit Ubium,89395.7675,19026.8935,57582.45,61586.95,76117.75,87665.5,100180.25,123013.35,132157.475
Akwa Ibom,Obot Akara,104290.7182,21684.51056,68241.85,72751.95,89461.5,102017.5,116952,142666.85,153394.175
Akwa Ibom,Okobo,47070.6851,10023.84572,30787.825,32998.5,40080.5,45918,52505,65040.8,70438.175
Akwa Ibom,Onna,67225.5952,12742.15709,46187.75,49134.25,58286.75,66049,74424,90031.9,96234
Akwa Ibom,Oron,73988.2173,6944.418107,61686.925,63196.1,69184,73561.5,78427.75,86171.3,88740
Akwa Ibom,Oruk Anam,175684.2698,33335.78541,118559.45,126146.3,152521.5,173070,195753,235235.1,250184.325
Akwa Ibom,Udung Uko,11642.748,1066.084782,9722,10018,10889.5,11585.5,12319.25,13482.05,13888
Akwa Ibom,Ukanafun,88107.277,18736.66824,57250.575,61205.3,75076,86018.5,98678,121227.4,131217.175
Akwa Ibom,Uruan,98003.7078,15887.06875,71947.775,75509.25,86702.5,96060,107490.75,127539.25,134419.15
Akwa Ibom,Urue Offong/Oruko,33090.3412,3227.208841,27209,28121.95,30855.75,32907.5,35118.25,38665.25,39886.025
Akwa Ibom,Uyo,369664.4308,37653.39191,300304.425,310909.7,343295.5,367792.5,394095.75,434633.35,447225.95
Anambra,Aguata,540001.8656,60299.55486,449911.675,461740,500293,530137,568237.75,650361.95,690256.5
Anambra,Anambra East,84250.2151,8881.104249,70649.675,72448.6,78342.5,82870,88664.25,100778.3,105936.1
Anambra,Anambra West,40555.8161,4806.847269,33793.95,34580.9,37267.75,39655,42785,49749.9,52849.3
Anambra,Anaocha,305766.0212,33481.03421,253721.875,260944.2,283578.75,300979,322756.5,366471.4,387597.7
Anambra,Awka North,102331.4301,11367.03936,84723.3,87047.95,94840.5,100731,107884.25,123057.45,129923.35
Anambra,Awka South,379788.6523,49299.3,304959.7,316153.9,348040.5,371830.5,401394,471021.05,504312.9
Anambra,Ayamelum,44769.7992,5141.590823,37078.7,38101,41349.75,43920,47219.25,54258.05,57643.175
Anambra,Dunukofia,83830.0298,9903.977056,69022.75,71019.8,77328.5,82259,88395,101984.55,108733.9
Anambra,Ekwusigo,281338.5956,31259.7651,233761.6,239767.9,260771.25,276277.5,296348.25,338344.45,358614.15
Anambra,Idemili North,517010.7222,61918.84317,425316.825,437896.1,477185,506734.5,543610.5,632055.7,673998.25
Anambra,Idemili South,325698.1301,39394.19346,267476.2,275110,300322.5,319037,343183.25,398782.75,425845.05
Anambra,Ihiala,472328.5728,51481.08914,391382.425,403160.75,437348.25,464990.5,499248.75,565057.6,599788.225
Anambra,Njikoka,210605.1662,27838.63216,169049.975,174875.35,192758.75,206123.5,222718.75,262066.9,281664.45
Anambra,Nnewi North,262071.4448,35012.67831,210251.625,217387.15,239643,256178.5,276782.25,327871.5,352270.75
Anambra,Nnewi South,352162.8492,38799.92214,290806.925,298946.2,325792.5,346848,373258.25,422263.75,444738.1
Anambra,Ogbaru,163689.3035,16177.79897,138183.975,141698.8,152785,161478.5,171982,193040.35,201626.325
Anambra,Onitsha North,199283.789,25411.79786,160353.275,165569.4,182900.75,195424,210531.25,246943.15,262425.175
Anambra,Onitsha South,85432.5193,9417.201126,69551.825,71995.5,79223.5,84434,90518.75,102210.75,107093.325
Anambra,Orumba North,161385.5808,17527.72446,134118.125,137757.1,149523,158872.5,170411,192889,204354.35
Anambra,Orumba South,182398.6376,20825.44879,150821.85,155269.95,168715.25,178978.5,192433,220454.9,233845.55
Anambra,Oyi,293028.6437,35215.6216,240809.6,248077.55,270334.5,287191.5,308246.25,357844.2,382598.275
Bauchi,Alkaleri,531600.4287,88103.04283,378909.45,398983.4,470571.75,525343.5,586983.5,685570.5,723549.25
Bauchi,Bauchi,1305305.481,198331.0876,960593.125,1008931.4,1168738.75,1287539.5,1427928,1658593.7,1748045.575
Bauchi,Bogoro,141951.5639,22131.93583,104408.375,109283.75,126276.5,139818.5,155308,181690.25,191593.7
Bauchi,Dambam,207919.0839,23227.7032,166322.925,172016.1,191761.75,206552.5,222619.5,248203.1,256969.925
Bauchi,Darazo,437164.6183,44338.61446,357047.45,368960.6,406246.75,435103,465274.75,513851.3,529283.025
Bauchi,Dass,106543.1476,10453.06919,87389.875,90082.55,99368.5,106055,113253,124450.85,128366.175
Bauchi,Gamawa,376807.3094,68366.03045,262483.775,278403.7,328787.5,369462.5,417231.75,501163.75,531507.525
Bauchi,Ganjuwa,843152.8336,160241.411,579246.475,613950.45,728967.25,826400.5,937835.25,1125724.65,1209140.175
Bauchi,Giade,242707.5645,47411.19271,164611.8,174073.3,210232,237655.5,268828.75,328484.25,351057.775
Bauchi,Itas/Gadau,302269.5946,57435.95492,205566.475,219093.75,262228.25,296742.5,335675,405820.6,433951.175
Bauchi,Jama'are,130072.4522,13914.38705,105131.75,108574.05,120374,129233,138906.25,154275.3,159451.5
Bauchi,Katagum,576189.6334,84884.75459,432098.725,450910.25,516055.5,568284.5,627813.25,727408.45,761692.675
Bauchi,Kirfi,256315.3759,44502.61758,179460.9,190543.9,225836.75,252437,282903,334005,351700.225
Bauchi,Misau,342789.3704,58875.30098,247372.65,259323.9,301009.75,336388,377153.5,449558.6,477216.525
Bauchi,Ningi,676336.4892,102961.8543,498077.175,521971.95,604646,668408.5,737645.25,856929.85,901215.05
Bauchi,Shira,391242.408,72633.19694,273989.95,288004.65,340611.25,382365,433274.75,523395.9,559447.525
Bauchi,Tafawa-Balewa,377921.4019,64803.4009,271917.325,286068.6,332106,371358,415261,492739.7,524036.525
Bauchi,Toro,714890.3289,65037.25296,593288.075,612384.55,670211,712325.5,756518.5,825228.4,849075.325
Bauchi,Warji,171938.5953,30632.20138,119630.925,127449.55,150577.75,169164.5,190210.5,226881.6,239306.15
Bauchi,Zaki,264477.0447,45260.78884,186828.875,197420.9,233130.75,260377,291778.5,345573.5,363040.075
Bayelsa,Brass,63554.9291,5767.536416,53291.85,54752.75,59541.75,63206.5,67211.25,73663.25,75737.15
Bayelsa,Ekeremor,96061.292,12847.7436,73940.2,77236.55,87134.5,94826,103714.25,119000.85,124617.725
Bayelsa,Kolokuma/Opokuma,39144.8231,5764.925121,29089.875,30487.85,35083.75,38762,42679.5,49338.1,51846
Bayelsa,Nembe,39434.9938,6404.882318,28617.8,30186.85,35013.75,38730,43189,51032.75,53740.075
Bayelsa,Ogbia,107566.4698,13542.47422,83591.55,86982.25,98085.5,106506.5,115998.5,131349.65,136684.925
Bayelsa,Sagbama,72238.4175,10385.21889,54594.975,57041.95,64889,71206,78430,91267.05,95462.975
Bayelsa,Southern Ijaw,134002.9678,16742.89548,105762.5,109313.1,122217.25,132621.5,144055.5,163676.05,171178.25
Bayelsa,Yenegoa,523948.9781,42226.87783,446130.925,457874.35,494595.75,521947,551355.25,596845.4,612540.725
Benue,Ado,162295.6244,18063.0126,129424.925,137081.25,151951.25,161192.5,171277.75,191616.5,201715.1
Benue,Agatu,124976.722,9873.366075,105266,108823.95,118740,124998,131196,141270.6,144989.175
Benue,Apa,214211.0313,18643.98237,177723.45,184280.95,202125,213949.5,225886.5,244830.05,253105.15
Benue,Buruku,406675.4713,61911.37333,295641.7,319757.15,372107.25,401405.5,435470.75,509239.15,545902.475
Benue,Gboko,957935.7078,99689.6729,769789.075,808395,898748.25,954747.5,1012063,1119738.2,1164404.025
Benue,Guma,410615.8001,55916.81325,309476.475,330107.55,379009.25,407097.5,437840.5,501524.15,532978.575
Benue,Gwer East,398242.9787,53934.30059,299142,321174.3,367526.75,395026.5,424712.5,485743.5,516375.65
Benue,Gwer West,221517.8019,25021.18903,175102.825,184481.6,207162.25,220485.5,234682,262004.5,273878.45
Benue,Katsina-Ala,817324.9081,116548.9878,606963,654445.95,751890.25,808267.5,871810,1007607.05,1074918.95
Benue,Konshisha,684324.8664,104819.8412,494493.825,536690.25,625907.25,676149.5,733062,855299.1,918872.075
Benue,Kwande,860870.7319,119352.2573,648413.25,696927.25,794061.25,850532.5,915255.5,1059063.3,1129237.15
Benue,Logo,521788.7464,72652.06443,388829.8,418840.8,480494.25,516841,557032.75,641163.05,681422
Benue,Makurdi,969774.317,82080.56667,805175.425,835807.7,917048,969881.5,1022200.25,1104319.55,1135228.2
Benue,Obi,130108.1737,12935.79646,105217.975,109535.75,121605.75,129776.5,137871.25,151511.25,157142.15
Benue,Ogbadibo,180146.1467,16277.86682,148762.825,154793.55,170087.75,179877.5,190140.5,207007.3,213359.15
Benue,Ohimini,148937.7062,16822.33791,116442.9,122135.7,137740.25,148865.5,159399.25,176559.65,183399.875
Benue,Oju,226939.8954,18284.77298,191916.25,198983.7,215951.75,226122,237122,256794.3,265043.3
Benue,Okpokwu,210234.9445,18287.52535,174230.725,181232.7,198867.25,210004,221436.25,240202.4,247376.5
Benue,Oturkpo,312697.4204,26232.26173,260214.45,269486.8,296624.25,312468.5,328946.25,355267.05,365967.375
Benue,Tarka,257852.8243,35322.03749,193953.5,207543.05,237564.5,255423,275291.25,315332.65,334557.775
Benue,Ukum,905263.964,116779.843,691827.375,739563.65,839983.75,897660.5,961758,1094028.35,1161201.7
Benue,Ushongo,437430.285,64010.44106,322150.525,348300.95,401797.75,432418.5,466852.25,541922.65,579858.9
Benue,Vandeikya,374219.0201,51871.0229,282779.975,304242.6,344979,369597.5,398303,461198.9,491449.25
Borno,Abadam,119241.4884,11263.83492,96782.575,100679,111759.5,119196.5,126761.75,137644.65,141694.9
Borno,Askira/Uba,316642.0416,26633.26913,264487.95,272154.65,299226.5,316755.5,333787.75,360702.95,369780.1
Borno,Bama,257883.768,20623.31776,216786.675,223585.85,244093.75,258223.5,271652.5,291288.75,298150.2
Borno,Bayo,195581.6641,17790.10882,161602.825,167167.65,183514.75,195300.5,207137,225347.25,231089.275
Borno,Biu,371172.5757,29728.5783,312770.45,322705.6,351252.5,371037,390634.25,419551.7,430851.625
Borno,Chibok,127462.8304,10702.31629,106446.875,109747.55,120445.75,127532.5,134534,144870.15,148623.375
Borno,Damboa,230907.2697,19234.05687,193077.55,199195.15,218107.75,231156.5,243384.75,262723.75,268806.1
Borno,Dikwa,121928.7014,11805.82723,99328.775,102818.75,114046.5,121749.5,129548,141717.05,146228.05
Borno,Gubio,174390.2731,20624.16781,135192.85,141269.85,160644.25,173959.5,187615.25,209200.05,216868.275
Borno,Guzamala,102447.991,12225.31547,79469.85,82771.45,94163,102160,110145,123173.55,127431.375
Borno,Gwoza,238804.6883,19790.3984,199584.95,205878.9,225918,239059.5,251600.5,271112.5,277584.225
Borno,Hawul,315942.3984,27105.02217,261507.55,270734.65,298078.5,316603.5,333532.75,360213.85,368354.15
Borno,Jere,561846.3379,48567.11955,461023.475,478355.45,531852.75,563352,594011.5,639307.4,653307.625
Borno,Kaga,127349.5138,10759.06961,106110,109821.95,120218.75,127386,134365,144981.75,148761.6
Borno,Kala/Balge,74057.7655,6724.830271,61041,63148.75,69575.5,74042.5,78409.25,85362.9,87668.95
Borno,Konduga,207236.3607,15955.98447,175142.025,180566.4,196896.5,207346,217827,233332.1,238506.65
Borno,Kukawa,116777.6932,11805.55877,93296.275,97148.5,108938.25,116889.5,124665.25,136206.55,140194.375
Borno,Kwaya Kusar,160284.3654,13587.60063,133536.9,137996.1,151265,160275,169186,182711.05,187628.25
Borno,Mafa,106513.8914,9109.198389,87600.95,91044.1,100654.75,106787,112527.25,121029.05,123903.575
Borno,Magumeri,218630.2924,23555.66008,173645.075,180897.9,202839.5,218123,233841.5,257769.7,266903.575
Borno,Maiduguri,846657.0591,86811.52318,665996.975,696328.2,792822,849019,903009.75,983944.95,1011211.7
Borno,Marte,92306.0263,7899.11417,76619.9,79145.55,87102,92432,97582.75,105177.2,107643.525
Borno,Mobbar,219048.2591,22762.76338,174881.7,182246.85,203680,219018,233729.25,257101.95,265154.05
Borno,Monguno,211211.4617,19342.84271,173095.175,179574.95,198465.25,211189.5,223835,243444.75,249404.375
Borno,Ngala,168280.6968,14699.73445,139151.525,144119.9,158618.75,168312.5,177598.75,192771,198040.575
Borno,Nganzai,105202.6958,10800.28174,84277.35,87602.6,97971.75,105169,112239,122862,127102.375
Borno,Shani,238940.9557,21595.18541,196844.55,203964.75,224622,238806.5,252827,274526.2,281477.25
Cross River,Abi,61182.2231,4652.60946,52595.625,53910.8,58014.5,60965.5,64083.25,69075.05,70918.025
Cross River,Akamkpa,78105.6763,6876.671497,65660,67492.4,73353.75,77783.5,82417.25,90030.8,92805.475
Cross River,Akpabuyo,88480.1161,8184.782507,73964.925,76041.35,82849.25,87918.5,93554,102844.4,106249.425
Cross River,Bakassi,20462.0566,1844.131806,17100.975,17617.95,19203,20357,21620.25,23620,24385.175
Cross River,Bekwarra,104815.0032,8227.658373,90180.025,92372.6,99297,104306.5,109802,119078.2,122537.375
Cross River,Biase,69570.2631,5572.800203,59328.85,60819.85,65771.75,69395.5,73028.5,79080.65,81297.775
Cross River,Boki,134522.1785,11647.88345,113689.225,116741.6,126424,133789,141689.5,154684,159254.5
Cross River,Calabar Municipal,91326.6578,8926.791065,75233.825,77493.9,85280.5,90795.5,96781.25,106426.8,110448.9
Cross River,Calabar South,287996.6627,29712.36807,234103.4,241735.4,267731.5,286509,306298.75,338686.1,351528.8
Cross River,Etung,44584.9293,3938.29536,37433.7,38534,41837,44347.5,47046.5,51418.1,53039.05
Cross River,Ikom,166243.8665,12743.39622,142668.4,146154.45,157669,165745.5,174226.75,187832.25,193441.525
Cross River,Obanliku,99824.8306,9244.84362,84306.775,86344.9,93294.25,99055,105393,116208.05,119808.1
Cross River,Obubra,61529.9275,4502.452638,53452.775,54555.9,58481.5,61232.5,64302.25,69302.2,71086.225
Cross River,Obudu,111375.4343,9595.454332,94844.875,96882.55,104740.25,110612.5,117194.5,127978.15,132228.525
Cross River,Odukpani,131314.2522,10666.26352,111729.575,114822.95,124027.75,130786.5,137867.25,149566.7,154072.95
Cross River,Ogoja,167654.5733,12931.97167,144096.7,148038.85,158802.25,166787,175579.25,190000.7,195721.1
Cross River,Yakurr,109461.0244,8372.639481,93920.875,96396.95,103851.75,109104,114687,123763.2,127341.525
Cross River,Yala,188167.8402,13866.2753,163406.875,167134.55,179005.5,187212,196275,211922.5,218755.425
Delta,Aniocha North,91927.4488,7974.816452,77438.35,79683,86597.75,91495.5,96720,105793.3,109182.025
Delta,Aniocha South,193913.2723,17352.7096,162260.375,167007.35,182338,192924.5,204474,223809.4,231135.225
Delta,Bomadi,26482.7502,2213.497077,22486.8,23062.85,24987.75,26362.5,27868,30233.25,31223.05
Delta,Burutu,56243.4179,4803.964684,47487.95,48831.75,52973.75,55945,59267.5,64467,66361.05
Delta,Ethiope East,147589.5623,12211.15073,125641.125,128610.85,139354.75,146977,154910.5,168726.3,173807.85
Delta,Ethiope West,139036.6201,11777.93384,117513.675,120773.75,131215.25,138466.5,146128.5,159283.45,164015.425
Delta,Ika North East,165112.723,15158.6402,137875.425,141616.8,154955.25,164287,174445.5,191345.55,197658.25
Delta,Ika South,265635.3855,24408.01353,221511.45,228068.95,249293.5,264083.5,280449.5,307874.8,317866.05
Delta,Isoko North,162829.427,14477.89318,136703.95,140474.65,153064.5,161943,171556.5,187780.75,193852.125
Delta,Isoko South,125841.3139,10498.49902,106681.625,109670.6,118745,125336.5,132218.75,143943.25,148337.475
Delta,Ndokwa East,105912.0427,8163.159021,91407.925,93429.95,100426,105294,110892.25,120140.3,123654.45
Delta,Ndokwa West,202955.8369,18238.94906,169892.75,175173.65,190577.75,201827.5,213817,234356.3,242379.075
Delta,Okpe,104939.6731,8722.230438,89280.65,91452.45,99035,104471,110153.25,119880.05,123996.925
Delta,Oshimili North,311140.192,27795.89585,261403.6,268395.75,292407.75,309457,327688.25,359203.55,372073.1
Delta,Oshimili South,316556.8653,29502.36681,262920.675,271173.3,296876,314938,334664,366932.6,380811.125
Delta,Patani,22326.3993,2015.879023,18683.975,19257.9,20955.75,22216.5,23551,25791.05,26631.15
Delta,Sapele,180736.8463,15762.78322,152232.15,156572.75,170170.5,179810,190297,207277.25,214518.625
Delta,Udu,204726.6953,17451.77399,172845,177933.45,193021.5,203903.5,215245,234612.05,242531.45
Delta,Ughelli North,335933.8685,27662.1497,284789.95,293250.7,317376.25,334460.5,352616.25,383136.15,395643.525
Delta,Ughelli South,113764.465,9332.420024,96765.875,99334.3,107404,113274,119417.25,129881.05,133935.325
Delta,Ukwuani,104115.3585,9267.260825,87544.25,89836.6,97962.5,103525.5,109789.25,120114.65,124221.45
Delta,Uvwie,259530.8138,22072.9233,219331.95,225249.55,244678,258604,273115.5,296483.05,306733.775
Delta,Warri North,64171.9983,4738.885806,55349.8,56758.95,60958.5,63983,67130,72153.1,74039.025
Delta,Warri South,257197.0463,20711.30044,219116.175,224803.65,243236,256419,270074.5,291927.05,300655.225
Delta,Warri South-West,24126.3871,1924.510988,20663.925,21170.85,22813,24032.5,25329.25,27428,28260.1
Ebonyi,Abakaliki,205428.8725,20343.877,168603.525,173917.1,191085.75,204431.5,218627,240249.5,247703.425
Ebonyi,Afikpo North,191497.9666,27099.10561,143956.425,150054.35,172783.5,189411,208388.25,238638.25,249748.275
Ebonyi,Afikpo South,93429.6892,14695.32396,68684.8,72094,83173.5,92019.5,101907.25,119457.25,126111.15
Ebonyi,Ebonyi,395524.3842,52741.52352,305137.75,318087.2,357743,391356.5,428331,488473,511828.625
Ebonyi,Ezza North,200105.721,31941.19735,143877.7,151467,177440.25,198038.5,220263,255656.95,269348.625
Ebonyi,Ezza South,166530.0039,27364.66018,118033.875,125113.5,147456.5,164805,183441.5,213725.2,227519.45
Ebonyi,Ikwo,321108.2744,48015.62298,236943,248497.9,287162.25,317841,350426.25,405592.95,425789.7
Ebonyi,Ishielu,228816.455,31814.31663,171097.6,179801.8,206561,226825.5,249232.5,284592.7,296428.975
Ebonyi,Ivo,156472.8914,25778.3726,112751.975,118693.8,138593.75,153692.5,171659.5,202727.55,215076.55
Ebonyi,Izzi,559084.104,89429.25544,403772.35,424553.85,495517.25,552063,613444.25,718011.5,753593.125
Ebonyi,Ohaozara,166197.2041,24408.53555,123233.275,129150.75,149310.5,164476.5,181388,208522.55,218466.325
Ebonyi,Ohaukwu,288412.4075,39465.19857,218268.775,228058.6,260604.5,285922,313489,355473.05,370869.325
Ebonyi,Onicha,200084.3148,30988.02591,145353.275,153311.3,178196,198055.5,219587.25,254138.95,265921.125
Edo,Akoko-Edo,165568.4123,24553.20186,125951.075,130311.15,148187.5,162836,179899.5,209947.15,221567.1
Edo,Egor,454385.0067,77248.53444,330419.675,343112,398853.75,445116.5,501281.25,593117.8,626184.125
Edo,Esan Central,81884.7404,13095.56159,58869.825,62378.35,72945,80566,89849.25,104530.45,110253.7
Edo,Esan North-East,162235.9456,22966.98551,121632.675,127291.95,146245.25,160427.5,176375.25,202022.6,212047.05
Edo,Esan South-East,88165.6559,13643.94344,65019.725,68288.95,78724.75,86840,96102.5,112543.65,118759.15
Edo,Esan West,197170.2779,30867.38308,143647.3,151170.4,175943,194657,215509.5,250922.4,264820.475
Edo,Etsako Central,72041.246,12323.2633,51051.7,54252.3,63644.75,70670,79015.25,94514.2,100321.05
Edo,Etsako East,140483.8447,22572.63311,102110.15,107734.55,124809.5,138594.5,153512,181023.4,191309.625
Edo,Etsako West,257244.5456,34711.81898,196462.375,204980.65,233027.75,254659.5,278582.5,317776.7,332564.275
Edo,Iguegben,44578.1665,4803.638009,36166.725,37230.95,41232,44272,47575.25,52820.45,54925.275
Edo,Ikpoba-Okha,690538.914,83151.17544,544767.525,565349.9,632506.75,684534.5,741397.25,835888.25,870274.375
Edo,Oredo,370414.6265,37309.98738,303104.575,312484.9,343878.25,368349,395219.25,434786.45,447524.725
Edo,Orhionmwon,136498.8279,21236.38103,99460.35,104980.6,121949.5,134812,149250.5,173630.65,183268.05
Edo,Ovia North-East,289946.1807,41177.81281,217031.6,226317.55,261705,287510,315483.75,361488,378684.675
Edo,Ovia South-West,168295.9598,25224.91227,125999.65,131590.85,150376,165742.5,183324,213353.05,222696.875
Edo,Owan East,100777.0007,14829.27549,75252.15,79020.3,90483.25,99415,109556.25,127487.95,134128.825
Edo,Owan West,77746.4464,11501.28962,57733.175,60396.95,69729.5,76940.5,84678,97894.7,103368.15
Edo,Uhunmwonde,391584.8087,64492.11435,281730.775,295863.7,347556,384917.5,428342,506634.5,536609.4
Ekiti,Ado-Ekiti,534292.4518,54582.49683,434964.925,450808.15,498108.25,530984.5,566689.5,628643.35,652692.3
Ekiti,Efon,43583.6193,4490.690245,35593.925,36739.8,40577.75,43305,46223.75,51268,53276.35
Ekiti,Ekiti East,82399.7447,7933.168725,68007.75,70326.95,76961,81940.5,87092.75,96287.35,99508.2
Ekiti,Ekiti South-West,78320.0569,7886.957808,63970.9,66238.35,73035,77964,83039,92085.35,95441
Ekiti,Ekiti West,80895.2667,7682.273479,67030.95,69262.85,75736.5,80485,85488.75,94177.6,97595.075
Ekiti,Emure,27437.3827,2303.38788,23272.975,23901.9,25864,27295,28852,31389.25,32314.05
